name,,count
United States of America,99,162665650
United States of America,201,162665650
United States of America,102,162665650
United States of America,113,162665650
United States of America,1710,162665650
United States of America,230,162665650
United States of America,75,162665650
United States of America,352,162665650
United States of America,755,162665650
United States of America,100,162665650
United States of America,190,162665650
United States of America,83,162665650
United States of America,101,162665650
United States of America,151,162665650
United States of America,832,162665650
United States of America,1078,162665650
United States of America,177,162665650
United States of America,10,162665650
United States of America,32,162665650
United States of America,222,162665650
United States of America,119,162665650
United States of America,104,162665650
United States of America,75,162665650
United States of America,591,162665650
United States of America,97,162665650
United States of America,291.5,162665650
United States of America,8709,162665650
United States of America,29757.5,162665650
United States of America,102433,162665650
United States of America,156151,162665650
United States of America,3687,162665650
United States of America,34332.5,162665650
United States of America,85974,162665650
United States of America,8399.5,162665650
United States of America,39049.5,162665650
United States of America,3144,162665650
United States of America,15987.5,162665650
United States of America,14954.5,162665650
United States of America,12767.5,162665650
United States of America,10694.5,162665650
United States of America,95336,162665650
United States of America,32769.5,162665650
United States of America,2775.5,162665650
United States of America,42958.5,162665650
United States of America,83403,162665650
United States of America,3297,162665650
United States of America,34514,162665650
United States of America,39940.5,162665650
United States of America,86565.5,162665650
United States of America,51290,162665650
United States of America,37864,162665650
United States of America,24400,162665650
United States of America,82039.5,162665650
United States of America,291948,162665650
United States of America,37989,162665650
United States of America,9931,162665650
United States of America,2012,162665650
United States of America,1396.5,162665650
United States of America,4451.5,162665650
United States of America,15401,162665650
United States of America,33306.5,162665650
United States of America,1068.5,162665650
United States of America,19052,162665650
United States of America,488506.5,162665650
United States of America,21119,162665650
United States of America,83496,162665650
United States of America,144618,162665650
United States of America,114699.5,162665650
United States of America,41661.5,162665650
United States of America,54759,162665650
United States of America,84355,162665650
United States of America,84324.5,162665650
United States of America,93871.5,162665650
United States of America,193455,162665650
United States of America,396474.5,162665650
United States of America,269697,162665650
United States of America,1611303.5,162665650
United States of America,21826.5,162665650
United States of America,6246.5,162665650
United States of America,4249,162665650
United States of America,216461,162665650
United States of America,98092.5,162665650
United States of America,53005.5,162665650
United States of America,3742.5,162665650
United States of America,9439.5,162665650
United States of America,178818.5,162665650
United States of America,108244,162665650
United States of America,8567,162665650
United States of America,8701.5,162665650
United States of America,6273,162665650
United States of America,19127.5,162665650
United States of America,18463.5,162665650
United States of America,9315.5,162665650
United States of America,106897.5,162665650
United States of America,15072.5,162665650
United States of America,7997.5,162665650
United States of America,45082.5,162665650
United States of America,33477.5,162665650
United States of America,97675.5,162665650
United States of America,28375.5,162665650
United States of America,8117,162665650
United States of America,21627,162665650
United States of America,6820,162665650
United States of America,5259.5,162665650
United States of America,25454.5,162665650
United States of America,16669,162665650
United States of America,1437.5,162665650
United States of America,36690,162665650
United States of America,54865.5,162665650
United States of America,48066.5,162665650
United States of America,9773,162665650
United States of America,58664,162665650
United States of America,2533,162665650
United States of America,2861,162665650
United States of America,1811.5,162665650
United States of America,5309,162665650
United States of America,9175,162665650
United States of America,25371.5,162665650
United States of America,11175.5,162665650
United States of America,227774,162665650
United States of America,10239.5,162665650
United States of America,8458,162665650
United States of America,5838,162665650
United States of America,10350,162665650
United States of America,3195,162665650
United States of America,26107,162665650
United States of America,58322,162665650
United States of America,52169,162665650
United States of America,51472,162665650
United States of America,40826,162665650
United States of America,87986.5,162665650
United States of America,108267.5,162665650
United States of America,56759.5,162665650
United States of America,21384.5,162665650
United States of America,178282.5,162665650
United States of America,27690.5,162665650
United States of America,59834,162665650
United States of America,82091.5,162665650
United States of America,87090,162665650
United States of America,80284.5,162665650
United States of America,56855,162665650
United States of America,27327,162665650
United States of America,27796.5,162665650
